"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Giacomo Balla","Turin",1871,"Rome",1958,"male","Italy","composer,teacher,artist,painter,sculptor,ceramicist,drawer","Giacomo Balla","Giacomo Balla","Italian","Futurism","Abstract Art, Divisionism, Futurism, Impressionism, Pointillism","{Abstract Art:6},{Divisionism:1},{Futurism:58},{Impressionism:2},{Pointillism:3}","{Futurism:58}, {Abstract Art:6}, {Pointillism:3}, {Divisionism:2}, {Impressionism:2}",,"{Modern art:8},{Abstract art:2},{Futurism:76}",1907,1946,70,"US, Sweden, Italy, Turin, Venice, Paris, France, NY, Stockholm, Buffalo, New York City","{Paris:1},{France:1},{Venice:1},{Italy:4},{Stockholm:1},{Sweden:1},{New York City:3},{NY:4},{US:4},{Turin:3},{Buffalo:1}","Milan Futurist Group","Mario Sironi,posters-and-advertisements,logotypes,designs-and-sketches,allegories-and-symbols,stars-and-planets,roads-and-vehicles,instruments-and-mechanisms,children,games-and-sport,male-portraits,famous-people,allegories-and-symbols,doors-and-windows,Paris,carousels-and-attractions,night,","Futuro,Transformación forma-espíritu,Compenetrazione Iridescente No.13,Private Collection,Paesaggio,","Mario Sironi,","Artists2/Giacomo Balla/Future 1923.jpg,Artists2/Giacomo Balla/Spirit Form Transformation 1918.jpg,Artists2/Giacomo Balla/Primavera Spring 1918.jpg,Artists2/Giacomo Balla/Lines Force Of Boccioni S Fist.jpg,Artists2/Giacomo Balla/Flags For The Altar 1915.jpg,Artists2/Giacomo Balla/Synthesis Of Movement.jpg,Artists2/Giacomo Balla/Iridescent Interpenetration No 5 Eucalyptus 1914.jpg,Artists2/Giacomo Balla/Iridescent Interpenetration No 13.jpg,Artists2/Giacomo Balla/Dynamic Of Boccioni S Fist.jpg,Artists2/Giacomo Balla/Iridescent Interpenetration 1913.jpg,Artists2/Giacomo Balla/Abstract Speed 1913.jpg,","Artists2/Giacomo Balla/Poster For Casa D Arte Bragaglia 1918.jpg,Artists2/Giacomo Balla/Mimicry Synoptic The Sky Woman 1915.jpg,Artists2/Giacomo Balla/Mimicry Synoptic Costume Design For The Valle 1915.jpg,Artists2/Giacomo Balla/Flags At The Altar Of The Fatherland 1915.jpg,Artists2/Giacomo Balla/Design Sketches Mimicry Synoptic Or Spring 1915.jpg,Artists2/Giacomo Balla/Planet Mercury Passing In Front Of The Sun 1914 1.jpg,Artists2/Giacomo Balla/Velocity Of An Automobile.jpg,Artists2/Giacomo Balla/The Speed Of An Autumobile 1913.jpg,Artists2/Giacomo Balla/Speed Of An Automobile Study 1913.jpg,Artists2/Giacomo Balla/Speed Of A Motorcycle Study 1913.jpg,Artists2/Giacomo Balla/Rhythm Noise Speed Of Car 1913.jpg,Artists2/Giacomo Balla/Girl Running On A Balcony 1912.jpg,Artists2/Giacomo Balla/Self Portrait.jpg,Artists2/Giacomo Balla/Bankruptcy 1902.jpg,Artists2/Giacomo Balla/Luna Park Par S 1900.jpg,","[]","[]","Giacomo Balla"
"Hans Richter","Berlin",1889,"Dubno",1941,"male","German Reich","writer,jurist,opinion journalist,administrative lawyer","Hans Richter","Hans Richter","American,German","Dada","Abstract Art, Cubism, Dada, Expressionism","{Abstract Art:6},{Cubism:2},{Dada:14},{Expressionism:3}","{Expressionism:3}, {Dada:14}, {Abstract Art:6}, {Cubism:2}","Expressionism:1915-1917,Dada:1927-1974,Abstract Art:1948-1970,Cubism:1916-1927","{Dada:25}",1915,1974,25,,,,,,,,,"['Zürich', 'New York City', 'Vienna', 'Dresden', 'Munich', 'Berlin']","[]","Hans Richter"
"Henri Matisse","Le Cateau-Cambrésis",1869,"Nice",1954,"male","France","artist,painter,sculptor,ceramicist,printmaker,drawer,lithographer","Henri Matisse","Henri Matisse","French","Impressionism","Abstract Art, Abstract Expressionism, Color Field Painting, Contemporary Realism, Cubism, Divisionism, Expressionism, Fauvism, Figurative Expressionism, Impressionism, Neo-Impressionism, Orientalism, Post-Impressionism, Realism, Unknown","{Abstract Art:3},{Abstract Expressionism:44},{Color Field Painting:2},{Contemporary Realism:5},{Cubism:9},{Divisionism:1},{Expressionism:278},{Fauvism:258},{Figurative Expressionism:1},{Impressionism:67},{Neo-Impressionism:11},{Orientalism:13},{Post-Impressionism:152},{Realism:29},{Unknown:135}","{Expressionism:288}, {Fauvism:61}, {Cubism:12}, {Post-Impressionism:151}, {Impressionism:30}, {Orientalism:16}, {Abstract Expressionism:44}, {Pointillism:5}, {Abstract Art:2}, {Color Field Painting:1}, {Divisionism:7}, {Realism:16}","Expressionism:1899-1951,Fauvism:1900-1944,Cubism:1909-1948,Post-Impressionism:1896-1940,Impressionism:1895-1918,Orientalism:1912-1928,Abstract Expressionism:1943-1953,Pointillism:1904-1905,Abstract Art:1915-1953,Color Field Painting:1953-1953,Divisionism:1897-1905,Realism:1890-1903","{Impressionism,Post-Impressionism:977}",1890,1953,1008,"London, Moscow, CA, UK, Norway, Canada, Canberra, MO, Switzerland, Amsterdam, Sao Paulo, San Diego, US, Chicago, Netherlands, Cleveland, Washington DC, Baltimore, Germany, St. Louis, Ottawa, IL, Cambridge, Essen, Troyes, Brazil, Edinburgh, Australia, Los Angeles, Brussels, Glasgow, MA, San Francisco, Lille, Paris, Norfolk, Nancy, Denmark, Buffalo, Philadelphia, Bordeaux, Detroit, MI, Basel, Vence, Belgium, Boston, Russia, Nice, Saint Petersburg, Oslo, VA, Los Angeles County Museum of Art, France, NY, MD, Fort Worth, OH, PA, New York City","{Saint Petersburg:35},{Russia:43},{PA:18},{US:62},{Moscow:8},{Paris:38},{France:50},{Philadelphia:4},{Switzerland:4},{Glasgow:1},{UK:9},{Sao Paulo:1},{Brazil:1},{Ottawa:1},{Canada:1},{Baltimore:6},{MD:6},{Cleveland:1},{OH:1},{Chicago:3},{IL:3},{London:6},{New York City:13},{NY:15},{Washington DC:1},{Canberra:1},{Australia:1},{Los Angeles:7},{CA:10},{Vence:1},{Denmark:3},{Lille:1},{Nice:1},{Troyes:3},{Belgium:2},{Brussels:1},{Fort Worth:1},{Edinburgh:1},{Basel:3},{Buffalo:2},{Bordeaux:3},{Amsterdam:1},{Netherlands:1},{Nancy:1},{Los Angeles County Museum of Art:6},{Detroit:3},{MI:3},{San Diego:1},{San Francisco:2},{Norfolk:1},{VA:1},{Oslo:1},{Norway:1},{Essen:1},{Germany:1},{Boston:2},{MA:2},{Cambridge:1},{St. Louis:1},{MO:1}","École de Paris,Les Fauves","Edvard Munch,Pierre-Auguste Renoir,Alfred Sisley,","Marc Chagall,Pablo Picasso,Lee Krasner,Max Pechstein,Fernand Leger,Chaim Soutine,Karel Appel,Balcomb Greene,Man Ray,Mikhail Larionov,Guan Zilan,Carlos Nadal,",,,"Xavier Martinez,","['New York City', 'Paris', 'Vence', 'London', 'Saint-Tropez', 'Nice', 'Issy-les-Moulineaux', 'Saint-Quentin', 'Collioure', 'Morocco']","[]","Henri Matisse"
"Henry Moore","Castleford",1898,"Much Hadham",1986,"male","United Kingdom","artist,illustrator,sculptor,graphic artist,visual artist,bandmaster,printmaker,architectural draftsperson,watercolorist","Henry Moore","Henry Moore","British","Abstract Art","Abstract Art, Expressionism, Neo-Romanticism, Surrealism, Unknown","{Abstract Art:20},{Expressionism:3},{Neo-Romanticism:7},{Surrealism:4},{Unknown:1}","{Abstract Art:20}, {Neo-Romanticism:7}, {Expressionism:3}, {Surrealism:3}","Abstract Art:1950-1968,Neo-Romanticism:1973-1979,Surrealism:1934-1939","{Abstract Art:33}",1934,1979,35,"London, Israel, UK, Tel Aviv, Tate Britain, Jerusalem","{Tel Aviv:1},{Israel:3},{Tate Britain:7},{London:7},{UK:7},{Jerusalem:2}","Seven and Five Society","Amedeo Modigliani,Michelangelo,Jacob Epstein,Auguste Rodin,",,,,"Anthony Caro,","['Hampton', 'London', 'Much Hadham', 'Paris', 'Rotterdam', 'Scheveningen', 'Netherlands']","['London:1853-1853', 'Rotterdam:1870-1895', 'Scheveningen:1870-1895', 'Netherlands:1870-1895']","Henry Moore"
"Hilma af Klint","Solna",1862,"Danderyd",1944,"female","Sweden","artist,female painter","Hilma af Klint","Hilma af Klint","Swedish","Abstract Art","Abstract Art, Abstract Expressionism, Expressionism, Symbolism","{Abstract Art:18},{Abstract Expressionism:1},{Expressionism:2},{Symbolism:5}","{Symbolism:5}, {Abstract Art:18}, {Expressionism:2}","Symbolism:1910-1913,Abstract Art:1906-1922,Expressionism:1914-1915","{Abstract art:2},{Modern art:1},{Abstract Art:25}",1906,1922,26,,,,"Moderna Museet, Stockholm, Sweden,",,,,,"['Stockholm']","[]","Hilma Af Klint"
"Jean Arp","Strasbourg",1886,"Basel",1966,"male","France","photographer,writer,poet,painter,sculptor,jewelry designer,designer,drawer","Jean Arp","Jean Arp","French,German","Abstract Art","Abstract Art, Automatic Painting, Dada, Surrealism, Unknown","{Abstract Art:3},{Automatic Painting:1},{Dada:20},{Surrealism:35},{Unknown:2}","{Surrealism:34}, {Dada:20}, {Abstract Art:3}, {Automatic Painting:1}","Surrealism:1914-1966,Dada:1914-1954,Abstract Art:1914-1956,Automatic Painting:1954-1954","{Abstract Art,Dada,Surrealism:60}",1914,1966,61,"London, US, Israel, UK, NY, Switzerland, Zürich, Edinburgh, Jerusalem, New York City","{Jerusalem:2},{Israel:2},{Edinburgh:1},{UK:6},{London:5},{New York City:1},{NY:1},{US:1},{Zürich:1},{Switzerland:1}","École de Paris,Abstraction-Création,Cercle et Carré",,"Yves Tanguy,Edgar Negret,",,,,"['Clamart', 'Weimar', 'United States of America', 'Zürich', 'Austria', 'Strasbourg', 'Nérac', 'Grasse', 'Veyrier-du-Lac', 'Meudon', 'Paris', 'Amsterdam']","[]","Jean Arp"
"Jean Fautrier","8th arrondissement of Paris",1898,"Châtenay-Malabry",1964,"male","France","illustrator,painter,sculptor,graphic artist,drawer","Jean Fautrier","Jean Fautrier","French","Existential Art","Abstract Art, Art Informel, Existential Art, Expressionism, Lyrical Abstraction","{Abstract Art:4},{Art Informel:16},{Existential Art:8},{Expressionism:10},{Lyrical Abstraction:5}","{Lyrical Abstraction:5}, {Art Informel:23}, {Existential Art:9}, {Expressionism:9}, {Abstract Art:4}","Lyrical Abstraction:1958-1960,Art Informel:1943-1964,Existential Art:1934-1958,Expressionism:1926-1947,Abstract Art:1926-1928","{Tachisme:2},{Contemporary art:2},{Art Informel,Haute Pâte (Matter Painting),Existential Art:43}",1926,1964,43,"Los Angeles, US, CA","{Los Angeles:1},{CA:1},{US:1}",,"Artists2/Jean Fautrier/Otage Ndeg3 1945.jpg,64 x 54 cm,",,,,,"[]","[]","Jean Fautrier"
"Joaquin Torres Garcia","Montevideo",1874,"Montevideo",1949,"male","Spain","writer,professor,illustrator,painter,sculptor,muralist,art theorist,collagist","Joaquin Torres-Garcia","Joaquin Torres Garcia","Spanish,Uruguayan","Constructivism","Abstract Art, Futurism, Unknown","{Abstract Art:15},{Futurism:1},{Unknown:1}","{Abstract Art:16}, {Futurism:1}","Abstract Art:1919-1946,Futurism:1919-1919","{Modernismo,Futurism,Modernism,Conceptual Art,Abstract Art,Constructivism:17}",1919,1946,17,,,,,,,,,"['Barcelona', 'Montevideo', 'New York City', 'Paris', 'Madrid']","[]","Joaquin Torres Garcia"
"Johannes Itten","Wachseldorn",1888,"Zurich",1967,"male","Switzerland","photographer,writer,architect,painter,graphic artist,drawer","Johannes Itten","Johannes Itten","Swiss","Expressionism","Abstract Art, Constructivism, Cubism, Expressionism, Naïve Art (Primitivism)","{Abstract Art:24},{Constructivism:1},{Cubism:1},{Expressionism:7},{Naïve Art (Primitivism):2}","{Abstract Art:24}, {Naïve Art (Primitivism):2}, {Expressionism:7}, {Constructivism:1}, {Cubism:1}","Abstract Art:1915-1967,Naïve Art (Primitivism):1921-1922,Expressionism:1919-1949,Constructivism:1921-1924,Cubism:1916-1916","{Expressionism,Abstract Art:35}",1915,1967,35,"Japan, Tokyo","{Tokyo:1},{Japan:1}","Bauhaus",,,,,,"['Berlin', 'Zürich', 'Weimar', 'Amsterdam']","['Berlin:1926-1934', 'Weimar:1919-1922', 'Amsterdam:1938-1938']","Johannes Itten"
"Josef Albers","Bottrop",1888,"New Haven",1976,"male","United States of America","photographer,artist,educator,painter,sculptor,university teacher,glass artist,designer,printmaker","Josef Albers","Josef Albers","German","Abstract Art","Abstract Art, Constructivism, Expressionism, Hard Edge Painting, Op Art","{Abstract Art:7},{Constructivism:13},{Expressionism:3},{Hard Edge Painting:39},{Op Art:20}","{Hard Edge Painting:34}, {Abstract Art:8}, {Op Art:1}, {Constructivism:12}, {Expressionism:3}","Hard Edge Painting:1947-1976,Abstract Art:1921-1967,Op Art:1967-1967,Constructivism:1924-1955,Expressionism:1917-1918","{Constructivism,Concrete Art (Concretism):57}",1917,1976,82,"NY, Fort Worth, New York City, US","{New York City:1},{NY:1},{US:4},{Fort Worth:3}","Bauhaus","Piet Mondrian,Wassily Kandinsky,Kazimir Malevich,Bauhaus,Suprematism,Futurism,Constructivism,Expressionism,","Ad Reinhardt,Kuno Gonschior,",,,"Paul Klee,","['Weimar', 'Essen', 'Black Mountain', 'Munich', 'New Haven', 'Dessau', 'Mexico']","[]","Josef Albers"
"Lee Krasner","Brooklyn",1908,"New York City",1984,"female","United States of America","artist,illustrator,painter,printmaker","Lee Krasner","Lee Krasner","American","Abstract Art","Abstract Art, Abstract Expressionism","{Abstract Art:1},{Abstract Expressionism:22}","{Abstract Expressionism:21}, {Abstract Art:1}","Abstract Expressionism:1940-1974,Abstract Art:1938-1938","{Abstract Expressionism:22}",1938,1974,23,"US, NY, Canberra, Australia, New York City","{US:3},{New York City:2},{NY:2},{Canberra:1},{Australia:1}","American Abstract Artists","Pablo Picasso,Henri Matisse,Piet Mondrian,Willem de Kooning,Jackson Pollock,","Jasper Johns,Feminist Art,",,,"Jackson Pollock,","['East Hampton', 'New York City']","[]","Lee Krasner"
"Man Ray","Philadelphia",1890,"6th arrondissement of Paris",1976,"male","United States of America","screenwriter,photographer,actor,cinematographer,painter,sculptor,filmmaker,jewelry designer,film director,designer,film editor,printmaker,autobiographer,collagist,assemblage artist","Man Ray","Man Ray","American","Dada","Abstract Art, Cubism, Dada, Surrealism","{Abstract Art:10},{Cubism:13},{Dada:47},{Surrealism:14}","{Dada:48}, {Surrealism:13}, {Cubism:12}, {Abstract Art:10}","Dada:1912-1969,Surrealism:1916-1948,Cubism:1908-1972,Abstract Art:1926-1926","{Dada,Surrealism:81}",1908,1972,84,"US, NY, Canberra, Australia, New York City","{New York City:4},{NY:4},{US:4},{Canberra:1},{Australia:1}","École de Paris,Société Anonyme","Paul Cezanne,Auguste Rodin,Henri Matisse,Dada,Surrealism,","Andy Warhol,Laszlo Moholy-Nagy,Pop Art,Conceptual Art,",,,"Constantin Brancusi,Salvador Dali,Marcel Duchamp,Francis Picabia,Pablo Picasso,Alfred Stieglitz,","['Paris', 'New York City', 'Los Angeles', 'France']","[]","Man Ray"
"Mark Rothko","Daugavpils",1903,"Manhattan",1970,"male","United States of America","painter,university teacher,drawer","Mark Rothko","Mark Rothko","American,Jewish","Abstract Art","Abstract Art, Abstract Expressionism, Color Field Painting, Expressionism, Minimalism, Surrealism","{Abstract Art:4},{Abstract Expressionism:18},{Color Field Painting:104},{Expressionism:14},{Minimalism:9},{Surrealism:21}","{Color Field Painting:104}, {Surrealism:21}, {Minimalism:9}, {Abstract Art:1}, {Abstract Expressionism:18}, {Expressionism:10}","Color Field Painting:1947-1970,Surrealism:1940-1946,Minimalism:1964-1969,Abstract Art:1968-1968,Abstract Expressionism:1945-1949,Expressionism:1936-1940","{Abstract Expressionism:161}",1936,1970,170,"London, CA, UK, Spain, Canada, Canberra, Switzerland, US, Netherlands, Riehen, Washington DC, Melbourne, Germany, Chicago, Ottawa, IL, Australia, Los Angeles, Hague, San Francisco, Buffalo, United States, Basel, Cologne, Madrid, NY, New York City","{United States:1},{Washington DC:10},{US:30},{San Francisco:3},{CA:5},{Hague:1},{Netherlands:1},{Madrid:1},{Spain:1},{New York City:11},{NY:13},{Riehen:2},{Switzerland:3},{London:2},{UK:2},{Ottawa:1},{Canada:1},{Basel:1},{Los Angeles:2},{Canberra:2},{Australia:3},{Melbourne:1},{Buffalo:2},{Cologne:1},{Germany:1},{Chicago:2},{IL:2}","New York School,Irascibles","Edward Hopper,Ad Reinhardt,Caspar David Friedrich,Salvador Dali,","Helmut Federle,",,,"Jackson Pollock,","['Amsterdam', 'The Hague', 'Portland', 'San Francisco', 'New York City', 'Houston']","[]","Mark Rothko"
"Mathias Goeritz","Gdańsk",1915,"Mexico City",1990,"male","Mexico","writer,architect,painter,sculptor","Mathias Goeritz","Mathias Goeritz","German,Mexican","Minimalism","Abstract Art, Abstract Expressionism, Concretism, Minimalism, Spatialism, Surrealism","{Abstract Art:1},{Abstract Expressionism:8},{Concretism:2},{Minimalism:6},{Spatialism:12},{Surrealism:8}","{Abstract Expressionism:9}, {Concretism:2}, {Spatialism:12}, {Abstract Art:1}, {Minimalism:6}, {Surrealism:8}","Abstract Expressionism:1953-1980,Spatialism:1958-1976,Minimalism:1967-1984,Surrealism:1950-1976","{Minimalism:37}",1950,1984,37,,,"Los Hartos (The Fed-Ups)",,,,,,"[]","[]","Mathias Goeritz"
"Otto Freundlich","Słupsk",1878,"Lublin-Majdanek concentration camp",1943,"male","Germany","painter,sculptor,graphic artist,visual artist,drawer","Otto Freundlich","Otto Freundlich","Jewish,German","Abstract Art","Abstract Art, Expressionism","{Abstract Art:14},{Expressionism:1}","{Abstract Art:15}, {Expressionism:1}","Abstract Art:1919-1941,Expressionism:1923-1923","{Abstract Art:15}",1919,1941,15,,,"Abstraction-Création,Degenerate art",,,,,,"['Munich', 'Florence', 'Cologne', 'Paris', 'Amsterdam', 'Berlin']","['Munich:1904-1904', 'Florence:1905-1905', 'Cologne:1919-1919', 'Paris:1925-1925,1908-1914', 'Amsterdam:1912-1912', 'Berlin:1921-1922,1903-1904']","Otto Freundlich"
"Paul Klee","Münchenbuchsee",1879,"Muralto",1940,"male","Switzerland","painter,university teacher,graphic artist,visual artist,designer,printmaker,architectural draftsperson,drawer,lithographer","Paul Klee","Paul Klee","German,Swiss","Expressionism","Abstract Art, Abstract Expressionism, Cubism, Expressionism, Fauvism, Surrealism, Unknown","{Abstract Art:52},{Abstract Expressionism:1},{Cubism:26},{Expressionism:101},{Fauvism:1},{Surrealism:30},{Unknown:1}","{Abstract Art:49}, {Surrealism:30}, {Expressionism:99}, {Cubism:26}, {Fauvism:1}","Abstract Art:1914-1940,Surrealism:1905-1940,Expressionism:1907-1940,Cubism:1914-1940,Fauvism:1914-1914","{Bauhaus style:1},{German Expressionism:1},{Modern art:1},{Expressionism:1},{Expressionism,Abstract Art,Surrealism:207}",1905,1940,212,"Hanover, Kunsthalle, Spain, Switzerland, US, Riehen, Germany, Washington DC, Essen, Albertina, Austria, Hamburg, Paris, Philadelphia, Vienna, Basel, Berlin, Lucerne, Frankfurt, New Haven, Bern, France, NY, Munich, Düsseldorf, Madrid, PA, Main, New York City","{Washington DC:1},{US:14},{Bern:6},{Switzerland:22},{Riehen:4},{PA:6},{Lucerne:2},{Kunsthalle:4},{Hamburg:8},{Germany:16},{Paris:1},{France:1},{New York City:6},{NY:6},{Essen:1},{Berlin:4},{Düsseldorf:1},{Philadelphia:1},{Basel:2},{New Haven:1},{Munich:4},{Madrid:1},{Spain:1},{Frankfurt:1},{Main:1},{Hanover:1},{Albertina:1},{Vienna:1},{Austria:1}","Der Blaue Reiter (The Blue Rider),Bauhaus,Degenerate art","Edvard Munch,Robert Delaunay,Franz Marc,Expressionism,","Surrealism,Abstract Expressionism,Karl Otto Gotz,Nasreen Mohamedi,Dieter Roth,",,,"Josef Albers,Wassily Kandinsky,August Macke,Vadym Meller,","['Düsseldorf', 'Weimar', 'Dessau', 'Munich', 'Paris', 'Bern']","[]","Paul Klee"
"Paul Nash","Kensington",1889,"Boscombe",1946,"male","United Kingdom","photographer,artist,illustrator,painter,designer,printmaker","Paul Nash","Paul Nash",,"Abstract Art","Abstract Art, Cubism, Dada, Expressionism, Surrealism, Unknown","{Abstract Art:7},{Cubism:31},{Dada:1},{Expressionism:67},{Surrealism:23},{Unknown:4}",,,,1924,1942,133,,,,,,,,,"['London']","[]","Paul Nash"
"Roy Lichtenstein","New York",1923,"Manhattan",1997,"male","United States of America","artist,painter,sculptor,university teacher,graphic artist,jewelry designer,scenographer,visual artist,designer,printmaker,architectural draftsperson,lithographer","Roy Lichtenstein","Roy Lichtenstein","American","Pop Art","Abstract Art, Cubism, Expressionism, Pop Art, Surrealism, Unknown","{Abstract Art:18},{Cubism:9},{Expressionism:3},{Pop Art:117},{Surrealism:1},{Unknown:4}","{Pop Art:85}, {Cubism:9}, {Surrealism:1}, {Abstract Art:18}, {Expressionism:3}","Pop Art:1954-1994,Cubism:1963-1980,Surrealism:1991-1992,Abstract Art:1964-1989,Expressionism:1984-1987","{Pop Art:119}",1908,1994,152,"London, Iran, CA, Trento, UK, KS, Spain, Canberra, MO, Richmond, Switzerland, Lisbon, Ulm, America, San Diego, US, Germany, St. Louis, Riehen, Chicago, MN, Israel, Portugal, IL, St. Gallen, Rovereto, Minneapolis, Finland, Waltham, Edinburgh, Australia, New York City, Tehran, Los Angeles, Italy, Naples, Kuenzelsau, Albertina, Helsinki, MA, Austria, Tel Aviv, San Francisco, Kiasma, Norfolk, Detroit, MI, Aachen, Philadelphia, Buffalo, Vienna, Moenchengladbach, Zürich, Cologne, Berlin, Russia, Saint Petersburg, Frankfurt, VA, New Haven, Stuttgart, NY, Madrid, Fort Worth, PA, United States","{United States:1},{America:1},{New York City:14},{NY:15},{US:35},{London:2},{UK:3},{Lisbon:2},{Portugal:2},{Detroit:1},{MI:1},{Tel Aviv:1},{Israel:1},{Berlin:4},{Germany:22},{Albertina:2},{Vienna:5},{Austria:5},{St. Louis:4},{MO:4},{Aachen:4},{San Francisco:1},{CA:4},{Kuenzelsau:1},{Philadelphia:1},{PA:1},{Riehen:1},{Switzerland:4},{Cologne:8},{San Diego:1},{Kiasma:1},{Helsinki:1},{Finland:1},{Ulm:1},{Frankfurt:2},{Chicago:1},{IL:1},{St. Gallen:1},{Zürich:2},{Saint Petersburg:1},{Russia:1},{Minneapolis:1},{MN:1},{Trento:1},{Rovereto:1},{Italy:2},{Richmond:1},{VA:2},{Naples:1},{New Haven:2},{Madrid:1},{Spain:1},{Edinburgh:1},{Tehran:1},{Iran:1},{Los Angeles:2},{Stuttgart:2},{KS:1},{Norfolk:1},{Canberra:1},{Australia:1},{Buffalo:1},{Waltham:1},{MA:1},{Fort Worth:1},{Moenchengladbach:1}",,"Fernand Leger,",,,,"Allan Kaprow,","['Oswego', 'New Brunswick', 'New York City', 'Columbus']","['New York City:1951-1951']","Roy Lichtenstein"
